timestamp,voluntary_rate,involuntary_rate
1765620788,14,0
1765620789,8,0
1765620790,13,0
1765620791,15,0
1765620792,11,0
1765620793,13,0
1765620794,13,0
1765620795,9,0
1765620796,8,0
1765620797,15,0
1765620799,12,0
1765620800,11,0
1765620801,12,0
1765620802,10,0
1765620803,13,0
1765620804,15,0
1765620805,13,0
1765620806,13,0
1765620807,17,0
1765620808,11,0
1765620809,13,0
1765620810,15,0
1765620811,13,0
1765620812,16,0
1765620813,15,0
1765620814,10,0
1765620815,18,0
1765620816,15,0
1765620817,14,0
1765620818,12,0
1765620819,13,0
1765620820,12,0
1765620821,14,0
1765620822,12,0
1765620823,12,0
1765620824,15,0
1765620825,11,0
1765620826,12,0
1765620827,8,0
1765620828,10,0
1765620829,13,0
1765620831,13,0
1765620832,17,0
1765620833,12,0
1765620834,15,0
1765620835,11,0
1765620836,14,0
1765620837,16,0
1765620838,10,0
1765620839,9,0
1765620840,14,0
1765620841,9,0
1765620842,13,0
1765620843,10,0
1765620844,12,0
1765620845,10,0
1765620846,13,0
1765620847,12,0
1765620848,13,0
1765620849,10,0
1765620850,12,0
1765620851,11,0
1765620852,12,0
1765620853,12,0
1765620854,15,0
1765620855,16,0
1765620856,14,0
1765620858,15,0
1765620859,11,0
1765620860,8,0
1765620861,16,0
1765620862,12,0
1765620863,14,0
1765620864,13,0
1765620865,14,0
1765620866,12,0
1765620867,11,0
1765620868,9,0
1765620869,8,0
1765620870,10,0
1765620871,12,0
1765620872,13,0
1765620873,9,0
1765620874,14,0
1765620875,9,0
1765620876,11,0
1765620877,12,0
1765620878,12,0
1765620879,8,0
1765620880,14,0
1765620881,13,0
1765620883,14,0
1765620884,12,0
1765620885,10,0
1765620886,12,0
1765620887,10,0
1765620888,14,0
1765620889,14,0
1765620890,9,0
1765620891,11,0
1765620892,9,0
1765620893,9,0
1765620894,11,0
1765620895,10,0
1765620896,12,0
1765620897,11,0
1765620898,13,0
1765620899,13,0
1765620900,11,0
1765620901,14,0
1765620902,10,0
1765620903,14,0
1765620904,10,0
1765620905,11,0
1765620907,11,0
1765620908,13,0
1765620909,10,0
1765620910,10,0
1765620911,9,0
1765620912,8,0
1765620913,12,0
1765620914,6,0
1765620915,9,0
1765620916,11,0
1765620917,8,0
1765620918,11,0
1765620919,9,0
1765620920,10,0
1765620921,8,0
1765620922,12,0
1765620923,8,0
1765620924,10,0
1765620925,11,0
1765620926,10,0
1765620927,11,0
1765620928,14,0
1765620929,12,0
1765620930,9,0
1765620931,7,0
1765620932,12,0
1765620934,10,0
1765620935,10,0
1765620936,7,0
1765620937,10,0
1765620938,7,0
1765620939,10,0
1765620940,9,0
1765620941,8,0
1765620942,9,0
1765620943,7,0
1765620944,11,0
1765620945,9,0
1765620946,8,0
1765620947,8,0
1765620948,10,0
1765620949,9,0
1765620950,11,0
1765620951,9,0
1765620952,10,0
1765620953,9,0
1765620954,9,0
1765620955,11,0
1765620957,10,0
1765620958,10,0
1765620959,9,0
1765620960,12,0
1765620961,12,0
1765620962,10,0
1765620963,10,0
1765620964,7,0
1765620965,8,0
1765620966,12,0
1765620967,9,0
1765620968,9,0
1765620969,10,0
1765620970,9,0
1765620971,9,0
1765620972,8,0
1765620973,7,0
1765620974,7,0
1765620975,7,0
1765620976,7,0
1765620977,11,0
1765620978,10,0
1765620979,12,0
1765620980,13,0
1765620981,10,0
1765620983,7,0
1765620984,12,0
1765620985,12,0
1765620986,9,0
1765620987,8,0
1765620988,9,0
1765620989,10,0
1765620990,8,0
1765620991,12,0
1765620992,13,0
1765620993,9,0
1765620994,10,0
1765620995,9,0
1765620996,10,0
1765620997,12,0
1765620998,8,0
1765620999,11,0
1765621000,10,0
1765621001,8,0
1765621002,12,0
1765621003,13,0
1765621004,12,0
1765621005,10,0
1765621006,15,0
1765621007,9,0
1765621008,9,0
1765621009,12,0
1765621011,8,0
1765621012,11,0
1765621013,7,0
1765621014,9,0
1765621015,10,0
1765621016,9,0
1765621017,8,0
1765621018,8,0
1765621019,13,0
1765621020,7,0
1765621021,9,0
1765621022,13,0
1765621023,12,0
1765621024,9,0
1765621025,11,0
1765621026,10,0
1765621027,10,0
1765621028,9,0
1765621029,9,0
1765621031,9,0
1765621032,10,0
1765621033,10,0
1765621034,11,0
1765621035,14,0
1765621036,10,0
1765621037,8,0
1765621038,9,0
1765621039,10,0
1765621040,5,0
1765621041,10,0
1765621042,9,0
1765621043,12,0
1765621044,8,0
1765621045,7,0
1765621046,11,0
1765621047,11,0
1765621048,11,0
1765621049,12,0
1765621050,11,0
1765621051,10,0
1765621052,8,0
1765621053,9,0
1765621055,9,0
1765621056,13,0
1765621057,10,0
1765621058,14,0
1765621059,10,0
1765621060,13,0
1765621061,9,0
1765621062,10,0
1765621063,12,0
1765621064,10,0
1765621065,9,0
1765621066,9,0
1765621067,9,0
1765621068,7,0
1765621069,11,0
1765621070,9,0
1765621071,12,0
1765621072,11,0
1765621073,11,0
1765621074,9,0
1765621075,9,0
1765621076,13,0
1765621078,8,0
1765621079,9,0
1765621080,10,0
1765621081,10,0
1765621082,10,0
1765621083,7,0
1765621084,11,0
1765621085,12,0
1765621086,10,0
1765621087,10,0
1765621088,13,0
1765621089,10,0
1765621090,10,0
1765621091,9,0
1765621092,10,0
1765621093,8,0
1765621094,8,0
1765621095,11,0
1765621096,10,0
1765621097,13,0
1765621098,9,0
1765621099,13,0
1765621101,9,0
1765621102,12,0
1765621103,12,0
1765621104,8,0
1765621105,10,0
1765621106,14,0
1765621107,12,0
1765621108,8,0
1765621109,9,0
1765621110,11,0
1765621111,8,0
1765621112,10,0
1765621113,12,0
1765621114,11,0
1765621115,10,0
1765621116,7,0
1765621118,11,0
1765621119,11,0
1765621120,8,0
1765621121,10,0
1765621122,11,0
1765621123,8,0
1765621124,8,0
1765621125,8,0
1765621126,16,0
1765621127,8,0
1765621128,8,0
1765621129,11,0
1765621130,11,0
1765621131,10,0
1765621132,10,0
1765621133,14,0
1765621134,7,0
1765621135,9,0
1765621136,9,0
1765621137,11,0
1765621138,13,0
1765621139,8,0
1765621140,10,0
1765621141,9,0
1765621142,11,0
1765621143,10,0
1765621144,11,0
1765621146,12,0
1765621147,11,0
1765621148,9,0
1765621149,10,0
1765621150,9,0
1765621151,14,0
1765621152,11,0
1765621153,10,0
1765621154,11,0
1765621155,11,0
1765621156,8,0
1765621157,12,0
1765621158,8,0
1765621159,11,0
1765621160,7,0
1765621161,10,0
1765621162,11,0
1765621163,9,0
1765621164,8,0
1765621165,9,0
1765621166,9,0
1765621167,9,0
1765621168,12,0
1765621169,7,0
1765621171,11,0
1765621172,10,0
1765621173,9,0
1765621174,8,0
1765621175,10,0
1765621176,8,0
1765621177,11,0
1765621178,11,0
1765621179,12,0
1765621180,10,0
1765621181,8,0
1765621182,10,0
1765621183,10,0
1765621184,10,0
1765621185,11,0
1765621186,9,0
1765621187,8,0
1765621188,10,0
1765621190,12,0
1765621191,10,0
1765621192,9,0
1765621193,7,0
1765621194,10,0
1765621195,10,0
1765621196,10,0
1765621197,11,0
1765621198,11,0
1765621199,11,0
1765621200,9,0
1765621201,15,0
1765621202,9,0
1765621203,6,0
1765621204,13,0
1765621205,11,0
1765621206,9,0
1765621207,12,0
1765621208,10,0
1765621209,13,0
1765621210,10,0
1765621211,8,0
1765621212,15,0
1765621214,13,0
1765621215,12,0
1765621216,9,0
1765621217,8,0
1765621218,9,0
1765621219,16,0
1765621220,8,0
1765621221,11,0
1765621222,10,0
1765621223,12,0
1765621224,9,0
1765621225,6,0
1765621226,7,0
1765621227,11,0
1765621228,9,0
1765621229,7,0
1765621230,7,0
1765621231,10,0
1765621232,9,0
1765621233,12,0
1765621234,10,0
1765621235,15,0
1765621236,8,0
1765621237,8,0
1765621238,12,0
1765621239,10,0
1765621240,10,0
1765621242,11,0
1765621243,10,0
1765621244,12,0
1765621245,9,0
1765621246,6,0
1765621247,10,0
1765621248,8,0
1765621249,7,0
1765621250,13,0
1765621251,7,0
1765621252,9,0
1765621253,9,0
1765621254,9,0
1765621255,8,0
1765621256,11,0
1765621257,9,0
1765621258,10,0
1765621259,9,0
1765621260,7,0
1765621262,13,0
1765621263,9,0
1765621264,10,0
1765621265,10,0
1765621266,6,0
1765621267,12,0
1765621268,11,0
1765621269,8,0
1765621270,7,0
1765621271,7,0
1765621272,9,0
1765621273,10,0
1765621274,12,0
1765621275,8,0
1765621276,10,0
1765621277,9,0
1765621278,11,0
1765621279,8,0
1765621280,9,0
1765621281,9,0
1765621282,5,0
1765621283,10,0
1765621284,10,0
1765621286,7,0
1765621287,8,0
1765621288,9,0
1765621289,10,0
1765621290,12,0
1765621291,9,0
1765621292,9,0
1765621293,11,0
1765621294,10,0
1765621295,9,0
1765621296,13,0
1765621297,8,0
1765621298,12,0
1765621299,15,0
1765621300,9,0
1765621301,11,0
1765621302,10,0
1765621303,8,0
1765621304,9,0
1765621305,7,0
1765621306,14,0
1765621307,9,0
1765621308,8,0
1765621309,13,0
1765621310,8,0
1765621311,7,0
1765621312,9,0
1765621314,10,0
1765621315,10,0
1765621316,8,0
1765621317,9,0
1765621318,8,0
1765621319,9,0
1765621320,9,0
1765621321,8,0
1765621322,10,0
1765621323,10,0
1765621324,11,0
1765621325,10,0
1765621326,8,0
1765621327,10,0
1765621328,9,0
1765621329,7,0
1765621330,10,0
1765621332,13,0
1765621333,12,0
1765621334,10,0
1765621335,7,0
1765621336,10,0
1765621337,10,0
1765621338,9,0
1765621339,8,0
1765621340,9,0
1765621341,8,0
1765621342,7,0
1765621343,10,0
1765621344,8,0
1765621345,9,0
1765621346,6,0
1765621347,8,0
1765621348,9,0
1765621349,9,0
1765621350,11,0
1765621351,8,0
1765621353,10,0
1765621354,11,0
1765621355,8,0
1765621356,11,0
1765621357,9,0
1765621358,12,0
1765621359,6,0
1765621360,8,0
1765621361,10,0
1765621362,8,0
1765621363,11,0
1765621364,15,0
1765621365,11,0
1765621366,11,0
1765621367,13,0
1765621368,9,0
1765621369,14,0
1765621370,12,0
1765621371,10,0
1765621372,9,0
1765621373,7,0
1765621375,8,0
1765621376,8,0
1765621377,10,0
1765621378,10,0
1765621379,10,0
1765621380,8,0
1765621381,10,0
1765621382,8,0
1765621383,10,0
1765621384,9,0
1765621385,10,0
1765621386,8,0
1765621387,11,0
1765621388,9,0
1765621389,8,0
1765621390,11,0
1765621391,6,0
1765621392,10,0
1765621393,13,0
1765621394,9,0
1765621395,11,0
1765621397,6,0
1765621398,8,0
1765621399,9,0
1765621400,7,0
1765621401,10,0
1765621402,9,0
1765621403,10,0
1765621404,9,0
1765621405,9,0
1765621406,10,0
1765621407,12,0
1765621408,10,0
1765621409,10,0
1765621410,9,0
1765621411,8,0
1765621412,9,0
1765621413,12,0
1765621414,9,0
1765621415,9,0
1765621416,11,0
1765621417,7,0
1765621419,15,0
1765621420,10,0
1765621421,13,0
1765621422,11,0
1765621423,7,0
1765621424,10,0
1765621425,13,0
1765621426,14,0
1765621427,7,0
1765621428,12,0
1765621429,9,0
1765621430,11,0
1765621431,11,0
1765621432,10,0
1765621433,13,0
1765621434,8,0
1765621435,10,0
1765621436,8,0
1765621437,11,0
1765621438,11,0
1765621440,10,0
1765621441,7,0
1765621442,10,0
1765621443,10,0
1765621444,8,0
1765621445,10,0
1765621446,11,0
1765621447,11,0
1765621448,9,0
1765621449,13,0
1765621450,8,0
1765621451,7,0
1765621452,11,0
1765621453,9,0
1765621454,9,0
1765621455,10,0
1765621456,10,0
1765621457,9,0
1765621458,8,0
1765621460,10,0
1765621461,15,0
1765621462,12,0
1765621463,9,0
1765621464,12,0
1765621465,10,0
1765621466,10,0
1765621467,10,0
1765621468,10,0
1765621469,11,0
1765621470,8,0
1765621471,11,0
1765621472,11,0
1765621473,11,0
1765621474,10,0
1765621475,10,0
1765621477,9,0
1765621478,7,0
1765621479,12,0
1765621480,9,0
1765621481,8,0
1765621482,10,0
1765621483,8,0
1765621484,8,0
1765621485,13,0
1765621486,6,0
1765621487,11,0
1765621488,6,0
1765621489,11,0
1765621490,9,0
1765621492,9,0
1765621493,12,0
1765621494,7,0
1765621495,9,0
1765621496,9,0
1765621497,9,0
