timestamp,voluntary_rate,involuntary_rate
1765726561,68,0
1765726562,71,2
1765726563,95,1
1765726565,73,1
1765726566,67,0
1765726567,60,0
1765726568,66,0
1765726569,45,0
1765726570,58,1
1765726571,75,5
1765726572,62,0
1765726573,91,2
1765726574,58,0
1765726575,36,0
1765726576,58,1
1765726577,59,0
1765726578,46,1
1765726579,62,0
1765726580,65,0
1765726581,74,1
1765726582,68,0
1765726583,62,0
1765726584,50,0
1765726585,54,0
1765726586,56,0
1765726587,55,0
1765726588,83,2
1765726590,50,0
1765726591,61,0
1765726592,67,0
1765726593,59,1
1765726594,49,0
1765726595,61,0
1765726596,62,2
1765726597,59,1
1765726598,59,0
1765726599,58,0
1765726600,55,0
1765726601,61,1
1765726602,55,0
1765726603,62,0
1765726604,56,0
1765726605,48,0
1765726606,58,0
1765726607,81,1
1765726608,65,0
1765726609,44,0
1765726610,69,0
1765726611,57,0
1765726612,61,1
1765726613,51,0
1765726615,51,0
1765726616,57,0
1765726617,59,0
1765726618,49,0
1765726619,64,1
1765726620,39,0
1765726621,83,1
1765726622,55,1
1765726623,63,0
1765726624,59,0
1765726625,62,2
1765726626,52,2
1765726627,58,1
1765726628,55,0
1765726629,47,0
1765726630,58,0
1765726631,66,1
1765726632,56,0
1765726633,56,2
1765726634,65,2
1765726635,63,1
1765726636,53,0
1765726638,68,0
1765726639,41,0
1765726640,52,0
1765726641,85,1
1765726642,60,0
1765726643,42,0
1765726644,41,0
1765726645,58,0
1765726646,59,2
1765726647,67,1
1765726648,51,1
1765726649,54,0
1765726650,57,0
1765726651,82,1
1765726652,68,0
1765726653,53,0
1765726654,61,1
1765726655,37,0
1765726656,69,2
1765726657,66,1
1765726658,65,1
1765726659,64,0
1765726661,64,1
1765726662,47,0
1765726663,43,0
1765726664,51,0
1765726665,46,1
1765726666,54,1
1765726667,71,0
1765726668,54,1
1765726669,67,1
1765726670,74,1
1765726671,73,0
1765726672,54,0
1765726673,59,1
1765726674,57,0
1765726675,48,0
1765726676,63,1
1765726677,49,0
1765726678,62,0
1765726679,54,0
1765726680,66,0
1765726681,62,0
1765726682,75,0
1765726683,67,0
1765726684,70,2
1765726685,55,0
1765726686,49,0
1765726687,53,1
1765726688,66,0
1765726689,46,0
1765726690,50,0
1765726692,68,0
1765726693,65,0
1765726694,71,1
1765726695,62,0
1765726696,78,1
1765726697,59,0
1765726698,35,0
1765726699,53,0
1765726700,64,0
1765726701,63,0
1765726702,72,2
1765726703,54,0
1765726704,61,0
1765726705,58,0
1765726706,73,1
1765726707,51,1
1765726708,44,3
1765726709,50,0
1765726710,84,0
1765726711,58,0
1765726712,46,0
1765726713,56,0
1765726714,43,0
1765726715,71,2
1765726716,55,0
1765726717,52,3
1765726718,66,0
1765726719,53,0
1765726721,86,0
1765726722,49,0
1765726723,64,0
1765726724,56,0
1765726725,61,0
1765726726,79,1
1765726727,69,0
1765726728,50,0
1765726729,45,0
1765726730,60,0
1765726731,69,0
1765726732,97,0
1765726733,69,3
1765726734,60,0
1765726735,55,0
1765726736,75,0
1765726737,69,0
1765726738,65,0
1765726739,55,0
1765726740,53,0
1765726741,68,0
1765726742,51,0
1765726743,71,1
