timestamp,voluntary_rate,involuntary_rate
1765722518,70,1
1765722519,53,0
1765722520,59,0
1765722522,78,0
1765722523,60,0
1765722524,53,2
1765722525,63,0
1765722526,40,0
1765722527,199,3
1765722528,75,4
1765722529,58,1
1765722530,60,0
1765722531,45,0
1765722532,47,1
1765722533,55,1
1765722534,57,0
1765722535,54,0
1765722536,61,0
1765722537,149,1
1765722538,123,0
1765722539,59,0
1765722540,67,0
1765722542,79,2
1765722543,74,1
1765722544,57,0
1765722545,72,0
1765722546,79,0
1765722547,62,1
1765722548,132,0
1765722549,110,0
1765722550,60,0
1765722551,61,0
1765722552,66,0
1765722553,70,0
1765722554,41,0
1765722555,75,0
1765722556,58,1
1765722557,33,0
1765722558,124,1
1765722559,170,0
1765722560,73,0
1765722561,62,0
1765722562,49,0
1765722563,62,0
1765722564,59,0
1765722566,60,1
1765722567,58,1
1765722568,74,1
1765722569,101,0
1765722570,221,1
1765722571,53,0
1765722572,51,0
1765722573,48,1
1765722574,54,1
1765722575,47,0
1765722576,40,1
1765722577,66,0
1765722578,54,0
1765722579,62,1
1765722580,217,0
1765722581,77,0
1765722582,51,2
1765722583,57,0
1765722584,63,0
1765722585,56,0
1765722586,66,0
1765722588,58,0
1765722589,55,1
1765722590,58,0
1765722591,240,0
1765722592,59,0
1765722593,62,0
1765722594,52,0
1765722595,47,0
1765722596,52,0
1765722597,74,0
1765722598,58,0
1765722599,64,0
1765722600,71,0
1765722601,169,0
1765722602,87,0
1765722603,68,0
1765722604,42,0
1765722605,49,2
1765722606,59,1
1765722607,78,0
1765722608,55,1
1765722609,47,0
1765722610,79,0
1765722612,138,0
1765722613,178,0
1765722614,53,2
1765722615,55,0
1765722616,40,2
1765722617,53,0
1765722618,55,0
1765722619,54,0
1765722620,64,2
1765722621,56,0
1765722622,51,0
1765722623,228,3
1765722624,66,0
1765722625,52,0
1765722626,53,0
1765722627,55,0
1765722628,44,2
1765722629,64,0
1765722630,81,0
1765722631,65,0
1765722632,63,0
1765722633,236,1
1765722635,49,0
1765722636,49,1
1765722637,71,1
1765722638,66,0
1765722639,55,1
1765722640,53,1
1765722641,56,1
1765722642,43,0
1765722643,61,0
1765722644,168,0
1765722645,72,1
1765722646,64,0
1765722647,55,3
1765722648,64,1
1765722649,41,1
1765722650,87,0
1765722652,62,2
1765722653,63,0
1765722654,51,0
1765722655,171,0
1765722656,64,5
1765722657,49,0
1765722658,77,0
1765722659,57,0
1765722660,77,0
1765722661,35,0
1765722662,87,0
1765722663,52,0
1765722664,59,2
1765722665,275,0
1765722667,49,0
1765722668,51,1
1765722669,55,0
1765722670,49,0
1765722671,58,2
1765722672,59,2
1765722673,51,1
1765722674,91,3
1765722675,44,1
1765722676,187,0
1765722677,45,0
1765722678,48,0
1765722679,38,1
1765722680,61,0
1765722681,47,0
1765722682,40,0
1765722683,70,1
1765722684,64,2
1765722685,66,0
1765722686,131,0
1765722687,170,0
1765722688,62,2
1765722689,68,0
1765722690,60,0
1765722692,66,1
1765722693,50,0
1765722694,53,0
1765722695,65,0
1765722696,57,0
1765722697,111,0
1765722698,190,0
1765722699,60,0
1765722700,65,1
1765722701,50,0
1765722702,63,4
1765722703,60,1
1765722704,64,0
1765722705,91,0
1765722707,48,0
1765722708,59,0
1765722709,187,3
1765722710,51,1
1765722711,61,0
1765722712,57,1
1765722713,62,1
1765722714,56,0
1765722715,55,0
1765722716,70,1
1765722717,48,0
1765722718,106,2
1765722719,216,2
1765722720,60,2
1765722721,69,2
1765722722,44,0
1765722723,87,2
1765722724,62,1
1765722726,73,1
1765722727,71,0
1765722728,51,1
1765722729,78,0
1765722730,189,0
1765722731,53,0
1765722732,42,0
1765722733,66,0
1765722734,57,1
1765722735,81,0
1765722736,73,2
1765722737,41,0
1765722738,72,2
1765722739,63,3
1765722740,198,1
1765722741,69,1
1765722742,42,0
1765722743,73,0
1765722744,55,0
1765722745,61,1
1765722746,53,0
1765722747,75,1
1765722749,66,1
1765722750,61,0
1765722751,140,1
1765722752,118,0
1765722753,53,0
1765722754,62,0
1765722755,62,1
1765722756,80,1
1765722757,57,0
1765722758,57,0
1765722759,60,2
1765722760,50,0
1765722761,90,2
1765722762,264,2
1765722763,39,1
1765722764,53,0
1765722765,55,1
1765722766,66,0
1765722767,58,0
1765722768,46,0
1765722769,48,0
1765722770,79,1
1765722771,42,0
1765722772,220,2
1765722773,113,0
1765722775,57,0
1765722776,80,0
1765722777,61,1
1765722778,74,0
1765722779,58,0
1765722780,35,0
1765722781,48,0
1765722782,68,0
1765722783,136,1
1765722784,188,0
1765722785,50,0
1765722786,72,1
1765722787,53,0
1765722788,47,0
1765722789,57,0
1765722790,55,0
1765722791,56,0
1765722792,57,2
1765722793,127,1
1765722794,230,0
1765722796,72,2
1765722797,81,0
1765722798,59,0
1765722799,56,1
1765722800,73,2
1765722801,53,0
1765722802,58,0
1765722803,60,0
1765722804,65,0
