timestamp,voluntary_rate,involuntary_rate
1765733234,89,1
1765733235,60,0
1765733236,58,0
1765733237,62,0
1765733238,59,0
1765733239,49,1
1765733240,54,0
1765733241,41,0
1765733242,62,0
1765733243,180,0
1765733244,79,2
1765733245,51,1
1765733246,76,0
1765733247,47,0
1765733248,51,0
1765733249,57,1
1765733251,81,0
1765733252,73,1
1765733253,68,0
1765733254,189,1
1765733255,98,3
1765733256,65,0
1765733257,57,0
1765733258,57,1
1765733259,58,1
1765733260,72,0
1765733261,58,0
1765733262,52,0
1765733263,78,1
1765733264,158,0
1765733265,68,1
1765733266,47,0
1765733267,46,0
1765733268,51,0
1765733269,51,0
1765733270,86,2
1765733272,71,0
1765733273,60,1
1765733274,41,0
1765733275,192,0
1765733276,139,0
1765733277,74,0
1765733278,66,0
1765733279,49,1
1765733280,62,0
1765733281,69,0
1765733282,63,1
1765733283,60,0
1765733284,60,2
1765733285,94,0
