timestamp,run_delay_ms
1765726561,8
1765726562,14
1765726563,6
1765726565,5
1765726566,9
1765726567,6
1765726568,10
1765726569,8
1765726570,6
1765726571,16
1765726572,1
1765726573,10
1765726574,4
1765726575,8
1765726576,8
1765726577,7
1765726578,4
1765726579,8
1765726580,3
1765726581,9
1765726582,4
1765726583,15
1765726584,18
1765726585,5
1765726586,4
1765726587,6
1765726589,16
1765726590,2
1765726591,3
1765726592,7
1765726593,4
1765726594,6
1765726595,17
1765726596,11
1765726597,5
1765726598,5
1765726599,8
1765726600,1
1765726601,8
1765726602,1
1765726603,8
1765726604,1
1765726605,10
1765726606,5
1765726607,4
1765726608,8
1765726609,2
1765726610,14
1765726611,4
1765726612,3
1765726613,6
1765726615,8
1765726616,2
1765726617,5
1765726618,3
1765726619,4
1765726620,5
1765726621,8
1765726622,1
1765726623,11
1765726624,11
1765726625,21
1765726626,7
1765726627,3
1765726628,6
1765726629,1
1765726630,3
1765726631,9
1765726632,6
1765726633,4
1765726634,14
1765726635,9
1765726636,4
1765726638,18
1765726639,3
1765726640,4
1765726641,11
1765726642,6
1765726643,2
1765726644,3
1765726645,8
1765726646,9
1765726647,11
1765726648,8
1765726649,4
1765726650,3
1765726651,6
1765726652,10
1765726653,4
1765726654,5
1765726655,5
1765726656,6
1765726657,9
1765726658,8
1765726659,2
1765726661,9
1765726662,2
1765726663,3
1765726664,20
1765726665,17
1765726666,13
1765726667,8
1765726668,9
1765726669,3
1765726670,19
1765726671,3
1765726672,6
1765726673,6
1765726674,1
1765726675,2
1765726676,12
1765726677,4
1765726678,5
1765726679,3
1765726680,4
1765726681,2
1765726682,6
1765726683,2
1765726684,9
1765726685,7
1765726686,4
1765726687,4
1765726688,9
1765726689,6
1765726690,3
1765726692,1
1765726693,5
1765726694,7
1765726695,8
1765726696,4
1765726697,7
1765726698,3
1765726699,6
1765726700,4
1765726701,1
1765726702,4
1765726703,3
1765726704,3
1765726705,6
1765726706,5
1765726707,5
1765726708,7
1765726709,4
1765726710,9
1765726711,6
1765726712,2
1765726713,1
1765726714,3
1765726715,14
1765726716,2
1765726717,9
1765726718,5
1765726719,3
1765726720,4
1765726722,4
1765726723,5
1765726724,10
1765726725,13
1765726726,8
1765726727,9
1765726728,3
1765726729,9
1765726730,2
1765726731,4
1765726732,12
1765726733,15
1765726734,15
1765726735,3
1765726736,4
1765726737,13
1765726738,6
1765726739,1
1765726740,3
1765726741,9
1765726742,2
1765726743,5
1765726744,14
1765726746,6
1765726747,7
1765726748,4
1765726749,4
1765726750,12
1765726751,2
1765726752,2
1765726753,4
1765726754,8
1765726755,8
1765726756,12
1765726757,3
1765726758,21
1765726759,3
1765726760,6
1765726761,16
1765726762,2
1765726763,4
1765726764,5
1765726765,9
1765726766,12
1765726767,6
1765726768,8
1765726769,5
1765726770,3
1765726772,2
1765726773,4
1765726774,11
1765726775,7
1765726776,6
1765726777,4
1765726778,4
1765726779,0
1765726780,8
1765726781,12
1765726782,3
1765726783,13
1765726784,6
1765726785,12
1765726786,3
1765726787,10
1765726788,4
1765726789,3
1765726790,20
1765726791,13
1765726792,5
1765726793,8
1765726794,15
1765726796,7
1765726797,4
1765726798,4
1765726799,4
1765726800,8
1765726801,5
1765726802,6
1765726803,3
1765726804,4
1765726805,5
1765726806,3
1765726807,3
1765726808,5
1765726809,4
1765726810,3
1765726811,4
1765726812,15
1765726813,4
1765726814,5
1765726815,6
1765726816,3
1765726817,7
1765726818,3
1765726819,2
1765726821,2
1765726822,3
1765726823,18
1765726824,8
1765726825,11
1765726826,13
1765726827,6
1765726828,5
1765726829,15
1765726830,3
1765726831,5
1765726832,5
1765726833,4
1765726834,4
1765726835,11
1765726836,4
1765726837,12
1765726838,0
1765726839,19
1765726840,8
1765726841,1
1765726842,2
1765726843,1
1765726844,3
1765726845,3
1765726846,6
1765726848,4
1765726849,8
1765726850,1
1765726851,4
1765726852,13
1765726853,4
1765726854,3
1765726855,3
1765726856,6
1765726857,8
1765726858,4
