timestamp,run_delay_ms
1765722518,6
1765722519,1
1765722520,1
1765722522,12
1765722523,2
1765722524,11
1765722525,4
1765722526,24
1765722527,9
1765722528,11
1765722529,40
1765722530,38
1765722531,2
1765722532,4
1765722533,5
1765722534,6
1765722535,5
1765722536,2
1765722537,13
1765722538,9
1765722539,3
1765722540,8
1765722541,88
1765722543,22
1765722544,1
1765722545,3
1765722546,4
1765722547,8
1765722548,2
1765722549,7
1765722550,1
1765722551,4
1765722552,1
1765722553,3
1765722554,3
1765722555,6
1765722556,3
1765722557,3
1765722558,106
1765722559,8
1765722560,10
1765722561,14
1765722562,1
1765722563,3
1765722564,5
1765722566,14
1765722567,2
1765722568,12
1765722569,3
1765722570,13
1765722571,7
1765722572,3
1765722573,5
1765722574,7
1765722575,2
1765722576,6
1765722577,16
1765722578,3
1765722579,10
1765722580,3
1765722581,3
1765722582,2
1765722583,3
1765722584,5
1765722585,10
1765722586,4
1765722588,2
1765722589,4
1765722590,4
1765722591,7
1765722592,18
1765722593,4
1765722594,11
1765722595,1
1765722596,5
1765722597,8
1765722598,8
1765722599,3
1765722600,1
1765722601,7
1765722602,6
1765722603,4
1765722604,9
1765722605,5
1765722606,9
1765722607,15
1765722608,2
1765722609,3
1765722610,0
1765722611,5
1765722613,8
1765722614,1
1765722615,10
1765722616,4
1765722617,12
1765722618,5
1765722619,9
1765722620,16
1765722621,8
1765722622,6
1765722623,14
1765722624,4
1765722625,9
1765722626,6
1765722627,8
1765722628,1
1765722629,8
1765722630,6
1765722631,19
1765722632,3
1765722633,8
1765722635,2
1765722636,4
1765722637,22
1765722638,8
1765722639,34
1765722640,2
1765722641,2
1765722642,1
1765722643,4
1765722644,13
1765722645,10
1765722646,6
1765722647,7
1765722648,5
1765722649,4
1765722650,18
1765722652,11
1765722653,5
1765722654,3
1765722655,5
1765722656,163
1765722657,71
1765722658,9
1765722659,6
1765722660,23
1765722661,3
1765722662,18
1765722663,29
1765722664,9
1765722665,16
1765722667,3
1765722668,12
1765722669,2
1765722670,4
1765722671,5
1765722672,11
1765722673,28
1765722674,9
1765722675,35
1765722676,7
1765722677,6
1765722678,6
1765722679,2
1765722680,6
1765722681,4
1765722682,0
1765722683,7
1765722684,3
1765722685,4
1765722686,5
1765722687,10
1765722688,17
1765722689,1
1765722690,12
1765722692,5
1765722693,7
1765722694,2
1765722695,15
1765722696,6
1765722697,4
1765722698,13
1765722699,5
1765722700,4
1765722701,8
1765722702,108
1765722703,13
1765722704,6
1765722705,5
1765722707,14
1765722708,1
1765722709,8
1765722710,11
1765722711,2
1765722712,16
1765722713,8
1765722714,7
1765722715,3
1765722716,4
1765722717,11
1765722718,3
1765722719,21
1765722720,13
1765722721,4
1765722722,2
1765722723,11
1765722724,32
1765722725,4
1765722727,6
1765722728,6
1765722729,4
1765722730,7
1765722731,9
1765722732,7
1765722733,7
1765722734,5
1765722735,3
1765722736,2
1765722737,4
1765722738,3
1765722739,8
1765722740,4
1765722741,18
1765722742,7
1765722743,5
1765722744,5
1765722745,10
1765722746,13
1765722747,18
1765722749,10
1765722750,4
1765722751,13
1765722752,10
1765722753,7
1765722754,3
1765722755,17
1765722756,18
1765722757,4
1765722758,6
1765722759,12
1765722760,3
1765722761,6
1765722762,13
1765722763,8
1765722764,2
1765722765,12
1765722766,1
1765722767,17
1765722768,8
1765722769,3
1765722770,5
1765722771,3
1765722772,12
1765722773,5
1765722775,2
1765722776,11
1765722777,21
1765722778,2
1765722779,10
1765722780,3
1765722781,9
1765722782,2
1765722783,5
1765722784,19
1765722785,5
1765722786,9
1765722787,1
1765722788,14
1765722789,1
1765722790,0
1765722791,11
1765722792,3
1765722793,3
1765722794,21
1765722796,14
1765722797,15
1765722798,4
1765722799,3
1765722800,18
1765722801,5
1765722802,10
1765722803,2
1765722804,1
1765722805,6
1765722806,5
1765722807,0
1765722808,1
1765722809,2
1765722810,13
1765722811,13
1765722812,17
1765722813,4
1765722814,3
1765722815,30
1765722816,15
1765722817,4
1765722819,7
1765722820,5
1765722821,9
1765722822,5
1765722823,13
1765722824,1
1765722825,8
1765722826,4
1765722827,5
1765722828,24
1765722829,6
1765722830,2
1765722831,6
1765722832,3
1765722833,13
1765722834,11
1765722835,3
1765722836,7
1765722837,10
1765722838,17
1765722840,2
1765722841,1
1765722842,1
1765722843,16
1765722844,1
1765722845,11
1765722846,2
1765722847,16
1765722848,7
1765722849,12
1765722850,1
1765722851,7
1765722852,3
1765722853,4
1765722854,2
1765722855,13
1765722856,10
1765722857,4
1765722858,9
1765722859,7
1765722860,17
1765722861,6
1765722863,11
1765722864,16
1765722865,7
1765722866,22
1765722867,0
1765722868,9
1765722869,9
1765722870,6
1765722871,11
1765722872,2
1765722873,15
1765722874,0
1765722875,10
1765722876,12
1765722877,4
1765722878,11
1765722879,4
1765722880,7
1765722881,2
1765722882,5
1765722883,5
1765722884,12
1765722885,2
1765722886,3
1765722887,3
1765722889,3
1765722890,12
1765722891,15
1765722892,3
1765722893,4
1765722894,4
1765722895,5
1765722896,7
1765722897,3
1765722898,1
1765722899,40
1765722900,5
1765722901,25
1765722902,2
1765722903,3
1765722904,5
1765722905,8
1765722906,3
1765722907,9
1765722908,4
1765722910,8
1765722911,7
1765722912,10
1765722913,4
1765722914,6
1765722915,0
1765722916,9
1765722917,10
1765722918,5
1765722919,10
1765722920,10
1765722921,11
1765722922,8
1765722923,3
1765722924,14
1765722925,10
1765722926,6
1765722927,9
1765722928,14
1765722930,11
1765722931,4
1765722932,5
1765722933,18
1765722934,9
1765722935,2
1765722936,3
1765722937,11
1765722938,13
1765722939,8
1765722940,0
1765722941,8
1765722942,1
1765722943,8
1765722944,2
1765722945,11
1765722946,7
1765722947,6
1765722948,8
1765722949,6
1765722951,12
1765722952,3
1765722953,3
1765722954,3
1765722955,9
1765722956,11
1765722957,2
1765722958,2
1765722959,3
1765722960,5
1765722961,4
1765722962,6
1765722963,2
1765722964,11
1765722965,14
1765722966,19
1765722967,12
1765722968,8
1765722969,5
1765722970,6
1765722971,12
1765722972,16
1765722973,3
1765722974,13
1765722976,17
1765722977,8
1765722978,1
1765722979,1
1765722980,7
1765722981,6
1765722982,1
1765722983,2
1765722984,5
1765722985,5
1765722986,3
1765722987,17
1765722988,11
1765722989,7
1765722990,14
1765722991,3
1765722992,3
1765722993,5
1765722994,3
1765722995,8
1765722996,19
1765722997,5
1765722998,2
1765723000,21
1765723001,2
1765723002,12
1765723003,4
1765723004,4
1765723005,6
1765723006,28
1765723007,6
1765723008,4
1765723009,9
1765723010,10
1765723011,3
1765723012,2
1765723013,9
1765723014,7
1765723015,8
1765723016,9
1765723017,6
1765723018,8
1765723020,3
1765723021,9
1765723022,1
1765723023,2
1765723024,2
1765723025,2
1765723026,7
1765723027,8
1765723028,7
1765723029,6
1765723030,4
1765723031,10
1765723032,2
1765723033,1
1765723034,0
1765723035,4
1765723036,6
1765723037,4
1765723038,5
1765723039,15
1765723040,3
1765723041,2
1765723043,5
1765723044,13
1765723045,6
1765723046,7
1765723047,6
1765723048,6
1765723049,4
1765723050,10
1765723051,6
1765723052,4
1765723053,14
1765723054,1
1765723055,4
1765723056,4
1765723057,10
1765723058,12
1765723059,23
1765723060,13
1765723061,8
1765723062,5
1765723063,7
1765723064,3
1765723066,8
1765723067,10
1765723068,4
1765723069,3
1765723070,1
1765723071,16
1765723072,7
1765723073,3
1765723074,10
1765723075,16
1765723076,10
1765723077,5
1765723078,9
1765723079,5
1765723080,1
1765723081,3
1765723082,9
1765723083,2
1765723084,1
1765723085,1
1765723086,3
1765723087,5
1765723088,8
1765723090,10
1765723091,16
1765723092,4
1765723093,10
1765723094,8
1765723095,24
1765723096,5
1765723097,10
1765723098,2
1765723099,10
1765723100,1
1765723101,3
1765723102,3
1765723103,4
1765723104,20
1765723105,16
1765723106,11
1765723108,9
1765723109,6
1765723110,7
1765723111,3
1765723112,2
1765723113,10
1765723114,4
1765723115,3
1765723116,2
1765723117,7
1765723118,4
1765723119,2
1765723120,5
1765723121,3
1765723122,28
1765723123,13
1765723124,4
1765723125,17
1765723126,2
1765723127,5
1765723128,6
1765723129,9
1765723130,17
1765723131,9
1765723133,15
1765723134,3
1765723135,4
1765723136,9
1765723137,3
1765723138,5
1765723139,3
1765723140,11
1765723141,19
1765723142,2
1765723143,13
1765723144,13
1765723145,2
1765723146,18
1765723147,1
1765723148,2
1765723149,3
1765723150,1
1765723151,9
1765723152,4
1765723153,5
1765723155,6
1765723156,12
1765723157,7
1765723158,5
1765723159,4
1765723160,1
1765723161,5
1765723162,14
1765723163,8
1765723164,15
1765723165,3
1765723166,9
1765723167,15
1765723168,0
1765723169,5
1765723170,9
1765723171,9
1765723172,6
1765723173,13
1765723174,3
1765723175,0
1765723176,2
1765723178,15
1765723179,5
1765723180,2
1765723181,5
1765723182,3
1765723183,17
1765723184,1
1765723185,4
1765723186,10
1765723187,2
1765723188,6
1765723189,1
1765723190,4
1765723191,3
1765723192,4
1765723193,2
1765723194,1
1765723195,21
1765723196,8
1765723197,3
1765723198,9
1765723200,5
1765723201,3
1765723202,8
