timestamp,run_delay_ms
1765733234,10
1765733235,5
1765733236,1
1765733237,5
1765733238,1
1765733239,0
1765733240,11
1765733241,0
1765733242,17
1765733243,4
1765733244,25
1765733245,5
1765733246,3
1765733247,2
1765733248,4
1765733249,11
1765733251,8
1765733252,14
1765733253,2
1765733254,7
1765733255,13
1765733256,7
1765733257,3
1765733258,20
1765733259,17
1765733260,1
1765733261,7
1765733262,3
1765733263,2
1765733264,10
1765733265,16
1765733266,2
1765733267,2
1765733268,8
1765733269,3
1765733270,9
1765733272,9
1765733273,22
1765733274,6
1765733275,11
1765733276,6
1765733277,1
1765733278,1
1765733279,1
1765733280,6
1765733281,5
1765733282,16
1765733283,3
1765733284,2
1765733285,2
