timestamp,user_pct,system_pct,idle_pct,iowait_pct
1765620788,.37,.87,98.49,.25
1765620789,.25,.75,98.99,0
1765620790,.25,1.00,98.74,0
1765620791,.25,.88,98.73,.12
1765620792,.37,.50,99.12,0
1765620793,.24,.74,98.88,.12
1765620794,.35,.71,98.92,0
1765620795,.50,.87,98.50,.12
1765620796,.50,1.00,98.49,0
1765620797,.24,.73,98.89,.12
1765620799,.23,.82,98.93,0
1765620800,.25,.50,99.24,0
1765620801,.25,.75,98.86,.12
1765620802,.25,.50,99.24,0
1765620803,.25,.75,98.86,.12
1765620804,.12,.63,99.24,0
1765620805,.25,.50,99.11,.12
1765620806,.25,.63,99.11,0
1765620807,.25,.63,98.98,.12
1765620808,.38,1.01,98.60,0
1765620809,.49,1.12,98.25,.12
1765620810,.37,1.00,98.61,0
1765620811,.25,.88,97.59,1.26
1765620812,.50,1.14,97.58,.76
1765620813,.25,.88,97.83,1.01
1765620814,.25,.75,98.99,0
1765620815,.50,.88,98.61,0
1765620816,.37,.75,98.73,.12
1765620817,.12,.63,99.24,0
1765620818,.38,.63,98.85,.12
1765620819,.25,.62,99.11,0
1765620820,.37,.63,98.98,0
1765620821,.50,1.00,98.36,.12
1765620822,.12,.88,98.98,0
1765620823,.25,.50,99.23,0
1765620824,.38,.76,98.72,.12
1765620825,.50,.88,98.60,0
1765620826,.38,.63,98.98,0
1765620827,.25,.63,98.99,.12
1765620828,.25,.75,98.98,0
1765620829,.24,.62,99.00,.12
1765620831,.24,.49,99.26,0
1765620832,.37,.74,98.75,.12
1765620833,.25,.75,98.99,0
1765620834,.37,.50,99.11,0
1765620835,.25,.75,98.99,0
1765620836,.25,.75,98.86,.12
1765620837,.37,.88,98.73,0
1765620838,.25,.88,98.73,.12
1765620839,.37,.62,98.99,0
1765620840,.23,.59,99.16,0
1765620841,.25,.63,99.11,0
1765620842,.38,.63,98.98,0
1765620843,.24,.61,99.00,.12
1765620844,.12,.50,99.36,0
1765620845,.25,.88,98.73,.12
1765620846,.37,.75,98.86,0
1765620847,.24,.72,99.03,0
1765620848,.25,.50,99.11,.12
1765620849,.37,.62,98.99,0
1765620850,.25,.88,98.73,.12
1765620851,.36,.61,99.02,0
1765620852,.47,.82,98.58,.11
1765620853,.24,.48,99.26,0
1765620854,.25,.87,98.74,.12
1765620855,.24,.61,99.00,.12
1765620856,.36,.60,99.03,0
1765620858,.47,.94,98.45,.11
1765620859,.25,.75,98.99,0
1765620860,.37,.88,98.73,0
1765620861,0,.49,99.38,.12
1765620862,.50,.87,98.49,.12
1765620863,.24,.73,98.89,.12
1765620864,.37,.75,98.86,0
1765620865,.12,.76,99.11,0
1765620866,.25,.75,98.86,.12
1765620867,.25,.76,98.98,0
1765620868,.12,.38,99.49,0
1765620869,.12,.51,99.36,0
1765620870,.12,.50,99.24,.12
1765620871,.24,.60,99.15,0
1765620872,.24,.61,99.02,.12
1765620873,.24,.73,99.01,0
1765620874,.36,.60,98.90,.12
1765620875,.25,.75,98.99,0
1765620876,.12,.63,99.24,0
1765620877,.37,.86,98.64,.12
1765620878,.25,.75,98.99,0
1765620879,.24,.49,99.25,0
1765620880,.11,.71,99.04,.11
1765620881,.49,.61,98.89,0
1765620883,.37,.75,98.86,0
1765620884,.25,.62,98.99,.12
1765620885,.37,.75,98.86,0
1765620886,.24,.72,98.91,.12
1765620887,.25,.75,98.99,0
1765620888,.49,.87,98.50,.12
1765620889,.23,.83,98.80,.11
1765620890,.25,.62,99.12,0
1765620891,.24,.85,97.81,1.09
1765620892,.50,1.25,98.24,0
1765620893,.49,.86,98.50,.12
1765620894,.37,.62,98.86,.12
1765620895,.24,.72,99.03,0
1765620896,.86,1.36,97.76,0
1765620897,.74,1.98,97.14,.12
1765620898,.62,1.87,97.37,.12
1765620899,.12,.76,99.10,0
1765620900,.12,.50,99.24,.12
1765620901,.25,.76,98.84,.12
1765620902,.12,.51,99.36,0
1765620903,.64,1.54,97.42,.38
1765620904,.25,.37,99.36,0
1765620906,.25,.64,99.10,0
1765620907,.25,.63,99.10,0
1765620908,.25,.50,99.11,.12
1765620909,.12,.76,98.97,.12
1765620910,.25,.63,98.97,.12
1765620911,.25,.50,99.23,0
1765620912,.25,.76,98.97,0
1765620913,.12,.38,99.36,.12
1765620914,.37,.63,98.98,0
1765620915,.24,.62,99.12,0
1765620916,.11,.47,99.28,.11
1765620917,.25,.63,99.11,0
1765620918,.25,.50,99.11,.12
1765620919,.12,.61,99.25,0
1765620920,.37,1.00,98.62,0
1765620921,.37,1.00,98.62,0
1765620922,.36,.73,98.77,.12
1765620923,.23,.47,99.28,0
1765620924,.36,.72,98.79,.12
1765620925,.62,1.12,98.24,0
1765620926,.74,.99,98.25,0
1765620927,.37,.75,98.74,.12
1765620928,.25,.76,98.98,0
1765620929,.25,.63,98.98,.12
1765620930,.25,.76,98.97,0
1765620931,.25,.50,99.23,0
1765620933,.12,.76,98.97,.12
1765620934,.25,.63,99.10,0
1765620935,.25,.88,98.86,0
1765620936,.12,.63,99.24,0
1765620937,.24,.62,99.00,.12
1765620938,.37,.98,98.64,0
1765620939,.36,.72,98.90,0
1765620940,.35,.83,98.80,0
1765620941,.24,.61,99.13,0
1765620942,.37,.75,98.74,.12
1765620943,.25,.75,98.99,0
1765620944,.12,.63,99.11,.12
1765620945,.24,.49,99.25,0
1765620946,.36,.60,99.02,0
1765620947,.37,1.00,98.62,0
1765620948,.24,.49,99.13,.12
1765620949,.36,.73,98.90,0
1765620950,.24,.73,99.02,0
1765620951,.24,.48,99.15,.12
1765620952,.25,.88,98.86,0
1765620953,.25,.75,98.99,0
1765620954,.37,1.25,98.24,.12
1765620955,.23,.59,99.16,0
1765620957,.23,.59,99.16,0
1765620958,.24,.60,99.02,.12
1765620959,.24,.61,99.01,.12
1765620960,.37,.88,98.73,0
1765620961,.24,.73,98.89,.12
1765620962,.25,1.00,98.74,0
1765620963,.12,.50,99.37,0
1765620964,.25,.75,98.86,.12
1765620965,.12,.63,99.24,0
1765620966,.25,.75,98.86,.12
1765620967,.23,.59,99.16,0
1765620968,.24,.74,99.00,0
1765620969,.37,.50,99.11,0
1765620970,.24,.72,98.91,.12
1765620971,.37,.75,98.86,0
1765620972,.25,.50,99.23,0
1765620973,.24,.73,99.01,0
1765620974,.25,.50,99.24,0
1765620975,.25,.50,99.24,0
1765620976,.25,.75,98.87,.12
1765620977,.25,.63,99.11,0
1765620978,.37,.75,98.86,0
1765620979,.12,.49,99.25,.12
1765620980,.36,.48,99.02,.12
1765620981,.25,.62,99.12,0
1765620983,.48,.73,98.78,0
1765620984,.47,.70,98.82,0
1765620985,.37,.75,98.86,0
1765620986,.25,.50,99.12,.12
1765620987,.12,.48,99.39,0
1765620988,.37,.61,99.01,0
1765620989,.36,.84,98.66,.12
1765620990,.49,.86,98.64,0
1765620991,.50,.75,98.74,0
1765620992,.25,.75,98.98,0
1765620993,.25,.75,98.86,.12
1765620994,.25,.75,98.99,0
1765620995,.37,.86,98.76,0
1765620996,.37,.62,98.87,.12
1765620997,.12,.63,99.11,.12
1765620998,.25,.50,99.23,0
1765620999,.25,.63,99.11,0
1765621000,.25,.88,98.74,.12
1765621001,.25,.37,99.36,0
1765621002,.25,.50,99.23,0
1765621003,.76,1.77,97.33,.12
1765621004,.12,.85,99.02,0
1765621005,.24,.49,99.14,.12
1765621006,.37,.74,98.51,.37
1765621008,.37,.62,98.99,0
1765621009,.25,.63,99.11,0
1765621010,.24,.85,98.89,0
1765621011,.25,.50,99.12,.12
1765621012,.36,.73,98.90,0
1765621013,.12,.62,99.25,0
1765621014,.24,.49,99.13,.12
1765621015,.24,.61,99.13,0
1765621016,.23,.59,99.16,0
1765621017,.12,.50,99.37,0
1765621018,.38,1.14,98.47,0
1765621019,.24,.74,98.88,.12
1765621020,.12,.50,99.36,0
1765621021,.23,.70,99.05,0
1765621022,0,.49,99.50,0
1765621023,.23,.58,99.05,.11
1765621024,.24,.74,98.87,.12
1765621026,.24,.73,99.01,0
1765621027,.24,.49,99.12,.12
1765621028,.25,.63,99.11,0
1765621029,.12,.75,99.12,0
1765621030,.36,.72,98.79,.12
1765621031,.24,.61,99.14,0
1765621032,.25,.89,98.85,0
1765621033,.35,.59,99.04,0
1765621034,.23,.59,99.05,.11
1765621035,.11,.82,99.05,0
1765621036,.37,1.24,98.38,0
1765621037,.24,.62,99.00,.12
1765621038,.25,.76,98.98,0
1765621039,.24,.37,99.38,0
1765621040,.24,.60,99.15,0
1765621041,.24,.49,99.26,0
1765621042,.25,.62,98.99,.12
1765621044,.25,.75,98.99,0
1765621045,.12,.75,99.12,0
1765621046,.11,.47,99.41,0
1765621047,.37,.63,98.86,.12
1765621048,.24,.60,99.15,0
1765621049,.37,1.12,98.49,0
