timestamp,user_pct,system_pct,idle_pct,iowait_pct
1765726561,.37,1.13,98.48,0
1765726562,.74,1.62,97.50,.12
1765726563,.62,.99,98.25,.12
1765726565,.87,1.99,97.01,.12
1765726566,.24,.85,98.90,0
1765726567,.38,.76,98.72,.12
1765726568,.50,.88,98.60,0
1765726569,.24,.73,99.01,0
1765726570,.50,1.00,98.36,.12
1765726571,.74,.74,98.51,0
1765726572,.63,1.01,98.22,.12
1765726573,.50,1.13,98.35,0
1765726574,.50,.88,98.47,.12
1765726575,.37,.88,98.73,0
1765726576,.24,.24,99.51,0
1765726577,.75,1.39,97.84,0
1765726578,.50,1.01,98.35,.12
1765726579,.63,1.39,97.97,0
1765726580,.50,1.27,98.21,0
1765726581,.38,1.39,98.09,.12
1765726582,.51,.89,98.59,0
1765726583,.50,1.00,98.36,.12
1765726584,.36,.60,99.03,0
1765726585,.88,1.25,97.85,0
1765726586,.50,1.01,98.34,.12
1765726587,.24,.73,99.01,0
1765726588,.84,1.44,97.71,0
1765726590,.36,.73,98.77,.12
1765726591,.50,.88,98.60,0
1765726592,.63,1.13,98.23,0
1765726593,.25,.88,98.73,.12
1765726594,.63,.88,98.48,0
1765726595,.25,.89,98.84,0
1765726596,.25,.50,98.86,.37
1765726597,.35,.71,98.92,0
1765726598,.87,1.50,97.49,.12
1765726599,.36,.61,99.02,0
1765726600,.50,1.26,98.23,0
1765726601,.63,1.51,97.72,.12
1765726602,.62,1.38,97.98,0
1765726603,.38,1.01,98.60,0
1765726604,.38,1.01,98.60,0
1765726605,.76,1.14,97.96,.12
1765726606,.12,.49,99.37,0
1765726607,.76,1.26,97.96,0
1765726608,.24,.73,99.01,0
1765726609,.63,.88,98.35,.12
1765726610,.25,.63,99.11,0
1765726611,.59,.71,98.57,.11
1765726612,.25,1.00,98.74,0
1765726613,.63,.75,98.61,0
1765726615,.37,1.00,98.62,0
1765726616,.63,.88,98.35,.12
1765726617,.75,1.39,97.84,0
1765726618,.38,.76,98.85,0
1765726619,.63,1.14,98.09,.12
1765726620,.50,1.01,98.47,0
1765726621,.25,1.02,98.71,0
1765726622,.37,.99,98.51,.12
1765726623,.24,.60,99.14,0
1765726624,.74,1.36,97.89,0
1765726625,.47,1.07,98.44,0
1765726626,.38,.88,98.72,0
1765726627,.63,1.13,98.10,.12
1765726628,.12,.62,99.25,0
1765726629,.50,1.01,98.47,0
1765726630,.50,1.01,98.34,.12
1765726631,.48,.72,98.79,0
1765726632,.12,.37,99.49,0
1765726633,.36,.61,98.89,.12
1765726634,.47,.71,98.80,0
1765726635,.62,1.12,98.25,0
1765726636,.48,.48,98.91,.12
1765726638,.73,1.22,98.03,0
1765726639,.50,1.00,98.48,0
1765726640,.36,.85,98.77,0
1765726641,.38,.89,98.59,.12
1765726642,.25,1.01,98.73,0
1765726643,.50,.76,98.60,.12
1765726644,.37,.88,98.73,0
1765726645,.24,.48,99.27,0
1765726646,.49,.86,98.64,0
1765726647,.59,1.19,98.20,0
1765726648,.50,.89,98.47,.12
1765726649,.38,.76,98.85,0
1765726650,.38,1.14,98.47,0
1765726651,.37,.87,98.63,.12
1765726652,.37,.74,98.88,0
1765726653,.50,1.38,98.10,0
1765726654,.38,.76,98.85,0
1765726655,.63,.76,98.47,.12
1765726656,.50,1.27,98.22,0
1765726657,.24,.74,99.00,0
1765726658,.47,.83,98.68,0
1765726659,.75,.87,98.24,.12
1765726660,.36,.84,98.78,0
1765726662,.50,1.26,98.23,0
1765726663,.50,1.00,98.49,0
1765726664,.49,.98,98.40,.12
1765726665,.24,.48,99.26,0
1765726666,.50,1.00,98.49,0
1765726667,.38,1.02,98.59,0
1765726668,.62,1.25,98.11,0
1765726669,.24,.61,99.13,0
1765726670,.48,.97,98.41,.12
1765726671,.38,.76,98.85,0
1765726672,.25,.76,98.85,.12
1765726673,.49,.87,98.62,0
1765726674,.50,1.26,98.23,0
1765726675,.38,1.14,98.47,0
1765726676,.37,.62,98.87,.12
1765726677,.50,.88,98.60,0
1765726678,.38,1.14,98.47,0
1765726679,.38,.88,98.60,.12
1765726680,.25,.63,99.11,0
1765726681,.38,.89,98.71,0
1765726682,.38,.89,98.59,.12
1765726683,.25,.89,98.72,.12
1765726684,.38,1.02,98.59,0
1765726685,.37,.88,98.73,0
1765726686,.38,.63,98.85,.12
1765726687,.25,.76,98.97,0
1765726688,.38,.89,98.59,.12
1765726689,.50,.75,98.74,0
1765726691,.50,.88,98.60,0
1765726692,.37,.75,98.73,.12
1765726693,.24,.60,99.14,0
1765726694,.63,1.01,98.22,.12
1765726695,.51,1.02,98.46,0
1765726696,.38,1.14,98.35,.12
1765726697,.38,.89,98.72,0
1765726698,.50,1.01,98.48,0
1765726699,.50,1.14,98.35,0
1765726700,.38,1.14,98.47,0
1765726701,.51,1.15,98.20,.12
1765726702,.25,1.02,98.72,0
1765726703,.38,.89,98.59,.12
1765726704,.38,1.14,98.46,0
1765726705,.25,1.01,98.72,0
1765726706,.38,.76,98.72,.12
1765726707,.24,.24,99.50,0
1765726708,.61,1.35,98.02,0
1765726709,.37,1.13,98.48,0
1765726710,.12,.37,99.37,.12
1765726711,.71,1.07,98.09,.11
1765726712,.63,.63,98.73,0
1765726713,.50,1.14,98.34,0
1765726714,.63,.75,98.61,0
1765726715,.24,.74,99.00,0
1765726716,.75,1.51,97.60,.12
1765726717,.63,1.14,98.22,0
1765726718,.37,1.64,97.97,0
1765726720,.51,1.02,98.33,.12
1765726721,.38,.90,98.71,0
1765726722,.38,.89,98.72,0
1765726723,.25,.75,98.99,0
1765726724,.60,.96,98.30,.12
1765726725,.48,.72,98.79,0
1765726726,.50,1.00,98.36,.12
1765726727,.23,.95,98.80,0
1765726728,.49,.99,98.50,0
1765726729,.38,1.14,98.47,0
1765726730,.25,1.14,98.47,.12
1765726731,.76,1.14,98.08,0
1765726732,.25,.62,98.99,.12
1765726733,.96,1.20,97.82,0
1765726734,.37,1.25,98.37,0
1765726735,.63,1.01,98.35,0
1765726736,.50,1.25,98.11,.12
1765726737,.24,.85,98.89,0
1765726738,.63,1.01,98.22,.12
1765726739,.62,1.25,98.11,0
1765726740,.25,1.01,98.72,0
1765726741,.37,.62,98.99,0
1765726742,.50,1.01,98.35,.12
1765726743,.38,1.01,98.59,0
1765726745,.63,1.27,98.09,0
1765726746,.49,.49,98.89,.12
1765726747,.50,.75,98.61,.12
1765726748,.38,.89,98.72,0
1765726749,.36,.72,98.90,0
1765726750,.36,.61,98.89,.12
1765726751,.37,1.01,98.60,0
1765726752,.62,1.00,98.36,0
1765726753,.39,1.04,98.42,.13
1765726754,.24,.62,99.13,0
1765726755,.61,.99,98.39,0
1765726756,.62,1.00,98.36,0
1765726757,.50,1.14,98.22,.12
1765726758,.25,.50,99.24,0
1765726759,.25,.75,98.99,0
1765726760,.63,1.39,97.96,0
1765726761,.25,.50,99.12,.12
1765726762,.76,1.26,97.84,.12
1765726763,.38,1.14,98.47,0
1765726764,.38,1.14,98.47,0
1765726765,.37,.88,98.74,0
1765726766,.37,.75,98.86,0
1765726767,.37,.87,98.61,.12
1765726768,.50,1.01,98.48,0
1765726769,.38,1.01,98.47,.12
1765726770,.25,.76,98.97,0
1765726772,.12,.49,99.38,0
1765726773,.24,.72,98.91,.12
1765726774,.63,1.13,98.23,0
1765726775,.24,.73,99.01,0
1765726776,.76,1.39,97.71,.12
1765726777,.63,1.01,98.34,0
1765726778,.24,.85,98.77,.12
1765726779,.37,.75,98.86,0
1765726780,.50,1.14,98.35,0
1765726781,.36,.98,98.52,.12
1765726782,.37,.62,98.99,0
1765726783,.75,1.13,98.11,0
1765726784,.24,.48,99.15,.12
1765726785,.37,.74,98.88,0
1765726786,.50,1.01,98.48,0
1765726787,.48,.72,98.66,.12
1765726788,.63,1.39,97.97,0
1765726789,.38,.76,98.72,.12
1765726790,.49,.86,98.64,0
1765726791,.48,.60,98.91,0
1765726792,.50,1.13,98.35,0
1765726793,.63,1.26,97.97,.12
1765726794,.12,.63,99.24,0
1765726796,.60,.97,98.30,.12
1765726797,.50,1.38,98.11,0
1765726798,.36,.72,98.79,.12
1765726799,.50,1.27,98.21,0
1765726800,.37,.75,98.73,.12
1765726801,.59,.95,98.44,0
1765726802,.51,1.02,98.33,.12
1765726803,.12,.49,99.26,.12
1765726804,.76,1.14,97.96,.12
1765726805,.50,1.26,98.22,0
1765726806,.24,.49,99.25,0
1765726807,.50,1.01,98.35,.12
1765726808,.50,1.01,98.47,0
1765726809,.37,.49,98.63,.49
1765726810,.75,1.00,98.24,0
1765726811,.63,1.14,98.09,.12
1765726812,.37,.75,98.87,0
1765726813,.63,1.13,98.10,.12
1765726814,.38,1.39,98.09,.12
1765726815,.50,1.01,98.47,0
1765726816,.38,1.14,98.47,0
1765726817,.25,1.02,98.59,.12
1765726818,.25,.63,99.11,0
1765726819,.50,1.14,98.22,.12
1765726821,.50,.63,98.85,0
1765726822,.37,.88,98.73,0
1765726823,.50,1.27,98.09,.12
1765726824,.36,.61,99.02,0
1765726825,.60,.97,98.41,0
1765726826,.37,.75,98.86,0
1765726827,.36,.61,99.01,0
1765726828,.63,.89,98.34,.12
1765726829,.38,.89,98.60,.12
1765726830,.50,1.01,98.47,0
1765726831,.25,.75,98.99,0
1765726832,.24,.49,99.25,0
1765726833,.50,1.01,98.47,0
1765726834,.50,.88,98.47,.12
1765726835,.24,.84,98.90,0
1765726836,.88,1.38,97.61,.12
1765726837,.38,.88,98.73,0
1765726838,.50,1.01,98.47,0
1765726839,.63,1.01,98.22,.12
1765726840,.24,.73,99.02,0
1765726841,.61,.74,98.63,0
1765726842,.75,1.13,97.47,.63
1765726843,.38,1.02,98.59,0
1765726844,.51,1.14,98.33,0
1765726845,.25,.89,98.71,.12
1765726846,.38,1.28,98.33,0
1765726848,.36,.61,98.89,.12
1765726849,.59,.83,98.56,0
1765726850,.37,1.13,98.35,.12
1765726851,.38,1.02,98.59,0
1765726852,.25,.50,99.12,.12
1765726853,.76,1.14,98.09,0
1765726854,.76,1.26,97.84,.12
