timestamp,user_pct,system_pct,idle_pct,iowait_pct
1765722518,0.48,1.2,98.3,0.0
1765722519,0.5,1.01,98.35,0.12
1765722521,0.5,1.38,98.1,0.0
1765722522,0.72,1.33,97.93,0.0
1765722523,0.51,1.4,98.08,0.0
1765722524,0.37,0.87,98.62,0.12
1765722525,0.5,1.0,98.5,0.0
1765722526,0.61,0.86,98.51,0.0
1765722527,0.51,0.89,98.59,0.0
1765722528,0.62,1.62,97.62,0.12
1765722529,0.88,1.26,97.85,0.0
1765722530,0.62,1.63,97.73,0.0
1765722531,1.37,2.62,96.0,0.0
1765722532,0.53,2.14,97.31,0.0
1765722533,0.38,1.29,98.19,0.12
1765722534,0.63,1.02,98.21,0.12
1765722535,0.25,0.76,98.98,0.0
1765722536,0.51,0.89,98.59,0.0
1765722537,0.25,0.77,98.96,0.0
1765722538,0.51,1.02,98.46,0.0
1765722539,0.89,1.79,97.17,0.12
1765722540,0.5,1.01,98.48,0.0
1765722541,1.5,2.25,96.24,0.0
1765722543,1.13,2.13,96.47,0.25
1765722544,0.5,1.52,97.83,0.12
1765722545,0.38,1.02,98.59,0.0
1765722546,0.51,1.15,98.33,0.0
1765722547,1.28,1.92,96.65,0.12
1765722548,0.25,1.15,98.58,0.0
1765722549,0.38,1.01,98.6,0.0
1765722550,0.63,1.14,98.09,0.12
1765722551,0.5,1.01,98.47,0.0
1765722552,0.75,1.64,97.46,0.12
1765722553,0.89,2.05,97.04,0.0
1765722554,0.77,1.28,97.94,0.0
1765722555,0.36,0.86,98.76,0.0
1765722556,0.5,1.63,97.73,0.12
1765722557,0.38,1.01,98.6,0.0
1765722558,0.27,0.95,98.77,0.0
1765722559,0.12,0.75,99.12,0.0
1765722560,0.85,1.21,97.8,0.12
1765722561,0.75,1.75,97.48,0.0
1765722562,0.63,1.39,97.97,0.0
1765722563,0.63,1.64,97.59,0.12
1765722564,0.88,1.38,97.73,0.0
1765722566,0.24,1.1,98.64,0.0
1765722567,0.36,1.09,98.42,0.12
1765722568,0.37,0.74,98.88,0.0
1765722569,0.63,1.01,98.34,0.0
1765722570,0.51,1.66,97.82,0.0
1765722571,0.24,0.49,99.13,0.12
1765722572,0.11,0.83,99.04,0.0
1765722573,0.97,1.71,97.31,0.0
1765722574,0.36,0.84,98.79,0.0
