timestamp,user_pct,system_pct,idle_pct,iowait_pct
1765733234,.84,1.81,97.09,.24
1765733235,.50,1.13,98.35,0
1765733236,.50,1.51,97.85,.12
1765733237,.88,1.89,97.22,0
1765733238,.63,1.39,97.97,0
1765733239,.37,.88,98.73,0
1765733240,.37,.61,98.88,.12
1765733241,.50,1.01,98.48,0
1765733242,.48,.48,99.02,0
1765733243,.76,1.66,97.44,.12
1765733244,.24,.96,98.78,0
1765733245,.50,1.51,97.85,.12
1765733246,.50,1.14,98.34,0
1765733247,.38,1.01,98.47,.12
1765733248,.50,.88,98.48,.12
1765733249,.36,.96,98.67,0
1765733251,.37,.62,98.88,.12
1765733252,.36,.61,99.02,0
1765733253,.62,1.51,97.73,.12
1765733254,.51,1.16,98.32,0
1765733255,.75,1.63,97.60,0
1765733256,.50,1.00,98.36,.12
1765733257,.37,.63,98.98,0
1765733258,.60,1.33,98.06,0
1765733259,.61,1.10,98.16,.12
1765733260,.62,1.25,98.11,0
1765733261,.37,1.00,98.49,.12
1765733262,.50,1.01,98.48,0
1765733263,.38,.89,98.59,.12
1765733264,.51,1.29,98.19,0
1765733265,.48,.85,98.53,.12
1765733266,.37,1.13,98.48,0
1765733267,.24,.24,99.51,0
1765733268,.60,1.20,98.19,0
1765733269,.24,.60,98.65,.48
1765733270,.25,1.00,98.36,.37
1765733272,.83,1.31,97.84,0
1765733273,.37,.86,98.63,.12
1765733274,.35,.59,99.04,0
1765733275,.64,1.28,97.94,.12
1765733276,.63,1.27,97.82,.25
1765733277,.38,1.27,98.09,.25
1765733278,.49,.99,98.38,.12
1765733279,.37,.74,98.88,0
1765733280,.38,.76,98.85,0
1765733281,.36,.72,98.78,.12
1765733282,.49,.99,98.51,0
1765733283,.50,1.13,98.35,0
1765733284,.38,.89,98.72,0
1765733285,.51,1.28,98.07,.12
