timestamp,total_num,state_R,state_S,state_D,state_Z,state_T
1765733234,4,0,4,0,0,0
1765733235,6,0,6,0,0,0
1765733236,6,0,6,0,0,0
1765733237,6,0,6,0,0,0
1765733238,6,0,6,0,0,0
1765733239,6,1,5,0,0,0
1765733240,6,0,6,0,0,0
1765733241,6,0,6,0,0,0
1765733242,6,0,6,0,0,0
1765733243,6,0,6,0,0,0
1765733244,6,0,6,0,0,0
1765733245,6,0,6,0,0,0
1765733246,6,0,6,0,0,0
1765733247,6,0,6,0,0,0
1765733248,6,0,6,0,0,0
1765733249,6,0,6,0,0,0
1765733251,6,0,6,0,0,0
1765733252,6,0,6,0,0,0
1765733253,6,0,6,0,0,0
1765733254,6,0,6,0,0,0
1765733255,6,0,6,0,0,0
1765733256,6,0,6,0,0,0
1765733257,6,0,6,0,0,0
1765733258,6,0,6,0,0,0
1765733259,6,0,6,0,0,0
1765733260,6,0,6,0,0,0
1765733261,6,0,6,0,0,0
1765733262,6,0,6,0,0,0
1765733263,6,0,6,0,0,0
1765733264,6,0,6,0,0,0
1765733265,6,0,6,0,0,0
1765733266,6,0,6,0,0,0
1765733267,6,0,6,0,0,0
1765733268,6,0,6,0,0,0
1765733269,6,0,6,0,0,0
1765733270,6,0,6,0,0,0
1765733272,6,2,4,0,0,0
1765733273,6,0,6,0,0,0
1765733274,6,0,6,0,0,0
1765733275,6,1,5,0,0,0
1765733276,6,0,6,0,0,0
1765733277,6,0,6,0,0,0
1765733278,6,0,6,0,0,0
1765733279,6,0,6,0,0,0
1765733280,6,0,6,0,0,0
1765733281,6,0,6,0,0,0
1765733282,6,0,6,0,0,0
1765733283,6,0,6,0,0,0
1765733284,6,0,6,0,0,0
1765733285,6,0,6,0,0,0
