timestamp,minor_faults,major_faults
1765733234,20,0
1765733235,20,0
1765733236,4,0
1765733237,0,0
1765733238,0,0
1765733239,1,0
1765733240,1,0
1765733241,0,0
1765733242,0,0
1765733243,209,0
1765733244,9,0
1765733245,2,0
1765733246,0,0
1765733247,0,0
1765733248,0,0
1765733249,0,0
1765733251,0,0
1765733252,0,0
1765733253,0,0
1765733254,104,0
1765733255,6,0
1765733256,0,0
1765733257,0,0
1765733258,0,0
1765733259,1,0
1765733260,0,0
1765733261,0,0
1765733262,0,0
1765733263,0,0
1765733264,97,0
1765733265,1,0
1765733266,0,0
1765733267,0,0
1765733268,0,0
1765733269,0,0
1765733270,0,0
1765733272,1,0
1765733273,0,0
1765733274,0,0
1765733275,104,0
1765733276,6,0
1765733277,0,0
1765733278,1,0
1765733279,0,0
1765733280,0,0
1765733281,0,0
1765733282,0,0
1765733283,0,0
1765733284,0,0
1765733285,121,0
