timestamp,logical_read,logical_write,phys_read,phys_write
1765733234,0,0,0,0
1765733235,0,0,0,0
1765733236,0,0,0,0
1765733237,0,0,0,0
1765733238,0,0,0,0
1765733239,0,0,0,0
1765733240,0,0,0,0
1765733241,0,0,0,0
1765733242,0,0,0,0
1765733243,0,.03,0,0
1765733244,0,0,0,0
1765733245,0,0,0,0
1765733246,0,0,0,0
1765733247,0,0,0,0
1765733248,0,0,0,0
1765733249,0,0,0,0
1765733251,0,0,0,0
1765733252,0,0,0,0
1765733253,0,0,0,0
1765733254,0,.01,0,0
1765733255,0,0,0,0
1765733256,0,0,0,0
1765733257,0,0,0,0
1765733258,0,0,0,0
1765733259,0,0,0,0
1765733260,0,0,0,0
1765733261,0,0,0,0
1765733262,0,0,0,0
1765733263,0,0,0,0
1765733264,0,.02,0,0
1765733265,0,0,0,0
1765733266,0,0,0,0
1765733267,0,0,0,0
1765733268,0,0,0,0
1765733269,0,0,0,0
1765733270,0,0,0,0
1765733272,0,0,0,0
1765733273,0,0,0,0
1765733274,0,0,0,0
1765733275,0,.03,0,0
1765733276,0,.02,0,0
1765733277,0,0,0,0
1765733278,0,0,0,0
1765733279,0,0,0,0
1765733280,0,0,0,0
1765733281,0,0,0,0
1765733282,0,0,0,0
1765733283,0,0,0,0
1765733284,0,0,0,0
1765733285,0,0,0,0
